Comment,Designator,Footprint,LCSC,Quantity
EL817,"U6,U7",SMDIP-4_W9.53mm,C106900,2
27pF,"C10,C9",C_0603_1608Metric,C107045,2
TP4057,U1,SOT-23-6,C12044,1
AO3401A,Q1,SOT-23,C15127,1
1uF,C8,C_0603_1608Metric,C15849,1
10uF,"C1,C2",C_0805_2012Metric,C15850,2
10k,"R12,R14,R15,R16,R17,R6,R9",R_0805_2012Metric,C17414,7
0R,R5,R_0805_2012Metric,C17477,1
1k,"R1,R10,R11,R19,R21",R_0805_2012Metric,C17513,5
220k,"R3,R4",R_0805_2012Metric,C17556,2
220R,"R13,R18,R20,R7",R_0805_2012Metric,C17557,4
4.7k,"R22,R23",R_0805_2012Metric,C17673,2
1N5819WS,D1,D_SOD-323,C191023,1
BC817-40,"Q2,Q3,Q4,Q5",SOT-23,C20069155,4
YELLOW,LED3,LED_0805_2012Metric,C2296,1
GREEN,LED1,LED_0805_2012Metric,C2297,1
100nF/16V,"C12,C13,C6,C7",C_0805_2012Metric,C28233,4
SW_Push,"SW1,SW2,SW3,SW4,SW5",SW_Push_1P1T_XKB_TS-1187A,C318884,5
BAT54C,D5,SOT-23,C37704,1
22uF,"C11,C3,C4,C5",C_0805_2012Metric,C45783,4
2.2uH,L1,L_1008_2520Metric,C5832372,1
SY8089AAAC,U2,SY8089AAAC_SGY,C78988,1
HDC1080,U8,Texas_PWSON-N6,C82227,1
RED,LED2,LED_0805_2012Metric,C84256,1
B5819W SL,"D2,D3,D4",D_SOD-123,C8598,3
CH340T,U4,SSOP-20_5.3x7.2mm_P0.65mm,C8689,1
12MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002,1
M7,"D6,D7",D_SMA,C95872,2
EE2-3TNUH,K1,Relay_DPDT_Kemet_EE2_NUH_DoubleCoil,,1
